Rank,Year
212,2005.0
213,2007.0
214,1997.0
215,2010.0
216,1990.0
217,2010.0
218,2010.0
219,2007.0
220,2014.0
221,1999.0
222,2016.0
223,2011.0
224,2000.0
225,2003.0
226,2000.0
227,2008.0
228,2002.0
229,2011.0
230,1996.0
231,2007.0
232,1991.0
233,2002.0
234,2009.0
235,2013.0
236,2015.0
237,2014.0
238,2007.0
239,2004.0
240,1981.0
241,2006.0
242,2002.0
243,2000.0
244,2015.0
245,2014.0
246,2005.0
247,2012.0
248,2010.0
249,2001.0
250,2006.0
251,2006.0
252,1987.0
253,2005.0
254,2006.0
255,1991.0
256,2005.0
257,2013.0
258,2014.0
259,1980.0
260,2008.0
261,2015.0
262,2013.0
263,2009.0
264,2011.0
265,2001.0
266,2004.0
267,2006.0
268,1995.0
269,2011.0
270,2005.0
271,2003.0
272,2016.0
273,2007.0
274,2011.0
275,2009.0
276,2011.0
277,1989.0
278,1984.0
279,1997.0
280,2002.0
281,2014.0
282,1997.0
283,1995.0
284,2006.0
285,2011.0
286,1992.0
287,2007.0
288,2015.0
289,2007.0
290,2010.0
291,2007.0
292,2007.0
293,2005.0
294,1996.0
295,2000.0
296,2014.0
297,1997.0
298,2014.0
299,1984.0
300,2008.0
301,2007.0
302,2009.0
303,2005.0
304,2009.0
305,2014.0
306,1994.0
307,2003.0
308,2013.0
309,2014.0
310,2006.0
311,2011.0
312,2005.0
313,1988.0
314,2010.0
315,2015.0
316,2004.0
317,2007.0
318,1995.0
319,1992.0
320,2009.0
321,2007.0
322,2011.0
323,2015.0
324,2011.0
325,2008.0
326,1996.0
327,2007.0
328,2013.0
329,2002.0
330,2007.0
331,2001.0
332,2015.0
333,1999.0
334,2000.0
335,2004.0
336,1998.0
337,2013.0
338,2007.0
339,2009.0
340,2002.0
341,2005.0
342,1998.0
343,2002.0
344,2008.0
345,2013.0
346,2001.0
347,1999.0
348,2009.0
349,2007.0
350,2013.0
351,2005.0
352,2016.0
353,2004.0
354,1994.0
355,2001.0
356,2007.0
357,2001.0
358,2005.0
359,2000.0
360,1997.0
361,2006.0
362,2002.0
363,1997.0
364,2001.0
365,2005.0
366,2013.0
367,2010.0
368,2000.0
369,1999.0
370,2008.0
371,2009.0
372,2009.0
373,1996.0
374,2010.0
375,1985.0
376,2009.0
377,2006.0
379,2015.0
380,2010.0
381,2008.0
382,2014.0
383,2012.0
384,2013.0
385,2009.0
386,2002.0
387,2013.0
388,2011.0
389,1998.0
390,1994.0
391,2004.0
392,1990.0
393,2002.0
394,2000.0
395,2008.0
396,2015.0
397,2009.0
398,1998.0
399,2000.0
400,2008.0
401,1998.0
402,2013.0
403,2006.0
404,2002.0
405,2002.0
406,2012.0
407,2005.0
408,2001.0
409,2003.0
410,2015.0
411,2014.0
412,2003.0
413,2008.0
414,2009.0
415,2015.0
416,1995.0
417,2015.0
418,2011.0
419,2015.0
420,2014.0
421,1999.0
422,1983.0
423,1995.0
424,2000.0
425,2007.0
426,2008.0
427,1995.0
428,2010.0
429,2003.0
430,2015.0
431,2010.0
433,2008.0
434,2001.0
435,2008.0
436,2001.0
437,2008.0
438,2005.0
439,2012.0
440,2014.0
441,2007.0
442,2000.0
443,1998.0
444,1999.0
445,2006.0
446,2007.0
447,1990.0
448,2010.0
449,2010.0
450,2014.0
451,2002.0
452,2001.0
453,1986.0
454,2012.0
455,2013.0
456,1994.0
457,2002.0
458,2012.0
459,2008.0
460,2012.0
461,2010.0
462,2008.0
463,1995.0
464,2009.0
465,2002.0
466,1987.0
467,2002.0
468,2015.0
469,2012.0
470,2007.0
472,2014.0
473,1993.0
474,2000.0
475,2002.0
476,2001.0
477,2015.0
478,2010.0
479,2014.0
480,2011.0
481,2003.0
482,2008.0
483,2002.0
484,2009.0
485,1996.0
486,2003.0
487,2005.0
488,2009.0
489,2001.0
490,2007.0
491,2006.0
492,2007.0
493,2002.0
494,2013.0
495,2014.0
496,2004.0
497,2008.0
498,2003.0
499,2012.0
500,2001.0
501,2004.0
502,2011.0
503,1999.0
504,2007.0
505,1998.0
506,2013.0
507,2012.0
508,2002.0
509,2011.0
510,1990.0
511,1997.0
512,1996.0
513,2011.0
514,2015.0
515,2010.0
516,2007.0
517,2009.0
518,2010.0
519,2002.0
520,2002.0
521,2003.0
522,1994.0
523,2010.0
524,2007.0
525,2003.0
526,2008.0
527,2006.0
528,1997.0
529,2011.0
530,1998.0
531,2001.0
532,1992.0
533,1996.0
534,2011.0
535,2001.0
536,2009.0
537,2011.0
538,2003.0
539,2014.0
540,2003.0
541,2009.0
542,2003.0
543,2007.0
544,2011.0
545,1980.0
546,1992.0
547,2013.0
548,2000.0
549,1986.0
550,2011.0
551,2006.0
552,2002.0
553,2001.0
554,2015.0
555,1998.0
556,2011.0
557,2006.0
558,2010.0
559,2010.0
560,2010.0
561,2004.0
562,2014.0
563,2009.0
564,2011.0
565,1992.0
566,2005.0
567,2008.0
568,1998.0
569,2004.0
570,2006.0
571,2003.0
572,2012.0
573,2006.0
574,1986.0
575,1996.0
576,2007.0
577,2000.0
578,2006.0
579,2009.0
580,2009.0
581,2004.0
582,2007.0
583,2010.0
584,2009.0
585,2011.0
586,2008.0
587,2002.0
588,2010.0
589,1990.0
590,2008.0
591,2007.0
592,2004.0
593,2009.0
594,2013.0
595,2009.0
596,2007.0
597,2006.0
598,2004.0
599,2010.0
600,2009.0
601,2007.0
602,2001.0
603,1987.0
604,2012.0
605,2003.0
606,2008.0
607,2008.0
609,2001.0
610,2000.0
611,2007.0
612,1986.0
613,2013.0
614,2006.0
615,2008.0
616,1999.0
617,2011.0
618,2003.0
619,2010.0
620,2002.0
621,2008.0
622,2008.0
623,1998.0
624,2012.0
626,2013.0
627,2002.0
628,2010.0
629,2008.0
630,1992.0
631,1997.0
632,1996.0
633,2011.0
634,2006.0
635,2003.0
636,1997.0
637,2008.0
638,1998.0
639,1988.0
640,2010.0
641,2003.0
642,2001.0
643,1998.0
644,2014.0
645,2007.0
646,2015.0
647,1996.0
648,1987.0
649,1997.0
651,2015.0
652,2010.0
655,1994.0
656,2013.0
657,2011.0
658,2005.0
659,2007.0
660,2011.0
661,1998.0
662,2015.0
663,2014.0
664,2010.0
665,2001.0
666,2007.0
667,2004.0
668,2004.0
669,2004.0
670,2009.0
671,2011.0
672,1995.0
673,2010.0
674,1996.0
675,1998.0
676,2008.0
677,2013.0
678,2007.0
679,2008.0
680,2001.0
681,2010.0
682,2015.0
683,2015.0
684,2010.0
685,2000.0
686,1997.0
687,2004.0
688,2004.0
689,1999.0
690,1995.0
691,1998.0
692,2013.0
693,2012.0
694,2008.0
695,2011.0
696,1997.0
697,2013.0
698,2004.0
699,2009.0
700,2014.0
701,2015.0
702,1983.0
703,2008.0
704,2008.0
705,2012.0
706,1997.0
707,2012.0
708,2009.0
709,2006.0
710,2002.0
711,2001.0
712,2007.0
714,2007.0
715,2014.0
716,2002.0
717,1997.0
718,2004.0
719,2011.0
720,2009.0
721,2008.0
722,2001.0
723,2001.0
724,1990.0
725,2008.0
726,2009.0
727,2013.0
728,2003.0
729,2009.0
730,1998.0
731,2010.0
732,2010.0
733,2013.0
734,2006.0
735,2008.0
736,1981.0
737,2007.0
738,2000.0
739,1986.0
740,2008.0
741,2007.0
742,2011.0
743,2006.0
744,2003.0
745,1992.0
746,2000.0
747,2012.0
748,2000.0
749,2002.0
750,2013.0
751,2013.0
752,2006.0
753,2003.0
754,2010.0
755,1998.0
756,1984.0
757,2001.0
758,2009.0
759,2000.0
760,2015.0
761,1987.0
762,2014.0
763,2007.0
764,1996.0
765,1983.0
766,1988.0
767,1992.0
768,1981.0
769,2004.0
770,2006.0
771,2003.0
772,2016.0
773,2010.0
774,2006.0
775,2010.0
776,2001.0
777,1989.0
778,2011.0
779,2009.0
780,2000.0
781,2008.0
782,2002.0
783,2010.0
785,2003.0
786,2011.0
787,1998.0
788,2002.0
789,2002.0
790,2005.0
791,2011.0
792,2005.0
793,1997.0
794,2006.0
795,2003.0
796,2010.0
797,2009.0
798,2006.0
799,2015.0
800,2010.0
801,2010.0
802,2002.0
803,2008.0
804,2007.0
805,2003.0
806,2010.0
807,1998.0
808,1994.0
809,2010.0
810,2002.0
811,2010.0
812,2009.0
813,2011.0
814,2001.0
815,2007.0
816,2010.0
817,2010.0
818,2005.0
819,2004.0
820,1998.0
821,2003.0
822,2013.0
823,2007.0
824,2008.0
825,2013.0
826,2005.0
827,2002.0
828,2013.0
829,1992.0
830,2007.0
831,2009.0
832,2011.0
833,2008.0
834,2006.0
835,2005.0
836,2003.0
837,2011.0
838,2014.0
839,1998.0
840,2011.0
841,2003.0
842,2008.0
843,2005.0
844,2014.0
845,2012.0
846,2007.0
847,2016.0
848,2013.0
849,2012.0
850,2014.0
851,1993.0
852,2008.0
853,1997.0
854,1989.0
855,2002.0
856,2002.0
857,1991.0
858,2013.0
859,2012.0
860,2014.0
861,2010.0
862,2002.0
863,2008.0
864,2003.0
865,2008.0
866,1981.0
867,2013.0
868,2004.0
869,1986.0
870,1985.0
871,2006.0
872,2006.0
873,2014.0
874,2003.0
875,2005.0
876,1994.0
877,2003.0
878,2003.0
879,2008.0
880,1999.0
881,2001.0
882,1989.0
883,2004.0
884,1997.0
885,2002.0
886,2004.0
887,2013.0
888,2008.0
889,1993.0
890,1995.0
891,1998.0
892,2008.0
893,2014.0
894,2008.0
895,2013.0
896,2001.0
897,2009.0
898,2008.0
899,2001.0
900,2003.0
901,2004.0
902,1996.0
903,2009.0
904,2000.0
905,2008.0
906,2008.0
907,2015.0
908,2011.0
909,2001.0
910,2012.0
911,2013.0
912,2008.0
913,2013.0
914,2009.0
915,1999.0
916,2004.0
917,1999.0
918,2005.0
919,1998.0
920,2007.0
921,2002.0
922,1998.0
923,2001.0
924,2013.0
925,2001.0
926,2005.0
927,2004.0
928,1999.0
929,1997.0
930,2004.0
931,2014.0
932,2001.0
933,2009.0
934,1999.0
935,2010.0
936,2013.0
937,2004.0
938,2007.0
939,2004.0
940,1984.0
941,2011.0
942,2001.0
943,2009.0
944,2005.0
945,1998.0
946,2005.0
947,2012.0
948,1996.0
949,2015.0
950,1993.0
951,2007.0
952,1995.0
953,2014.0
954,1994.0
955,2001.0
956,2001.0
957,2007.0
958,2010.0
959,2014.0
960,2003.0
961,2000.0
962,2002.0
963,2004.0
964,2008.0
965,2002.0
966,2006.0
967,2010.0
968,1999.0
969,2015.0
970,1994.0
971,2013.0
972,2012.0
973,2003.0
974,2006.0
975,2001.0
976,2004.0
977,2011.0
978,2010.0
979,2012.0
980,2013.0
981,2005.0
982,2007.0
983,2013.0
984,2013.0
985,1991.0
986,2000.0
987,2001.0
988,2009.0
989,1991.0
990,1998.0
991,2004.0
992,2001.0
993,1994.0
994,1986.0
995,2004.0
996,2002.0
997,2002.0
998,2013.0
999,2012.0
1000,2007.0
1001,2015.0
1002,2004.0
1003,2007.0
1004,2001.0
1005,1998.0
1006,2013.0
1007,2004.0
1008,2001.0
1009,2007.0
1010,1991.0
1011,1993.0
1012,1993.0
1013,2009.0
1014,2008.0
1015,2004.0
1016,1999.0
1017,2002.0
1018,2011.0
1019,2009.0
1020,2015.0
1021,2010.0
1022,1996.0
1023,1998.0
1024,2014.0
1025,2011.0
1026,2014.0
1027,2001.0
1028,2016.0
1029,1998.0
1030,2001.0
1031,2013.0
1032,2002.0
1033,2012.0
1034,2003.0
1035,2015.0
1036,2015.0
1037,2008.0
1038,2008.0
1039,2011.0
1040,2004.0
1041,2003.0
1042,2010.0
1043,2009.0
1044,1998.0
1045,2007.0
1046,2004.0
1047,2003.0
1048,2006.0
1049,2001.0
1050,2009.0
1051,2014.0
1052,2009.0
1053,2008.0
1054,2007.0
1055,2011.0
1056,1993.0
1057,2007.0
1058,2006.0
1059,2005.0
1060,2014.0
1061,2008.0
1062,2013.0
1063,1999.0
1064,2009.0
1065,2015.0
1066,1997.0
1067,1998.0
1068,2001.0
1069,2008.0
1070,2002.0
1071,2010.0
1072,2005.0
1073,2012.0
1074,2007.0
1075,2006.0
1076,1997.0
1077,2012.0
1078,1992.0
1079,1997.0
1080,2003.0
1081,2008.0
1082,2007.0
1083,2002.0
1084,2008.0
1085,2003.0
1086,2008.0
1087,2000.0
1088,2006.0
1089,2013.0
1090,2005.0
1091,1989.0
1092,2001.0
1093,2001.0
1094,2013.0
1095,2003.0
1096,2001.0
1097,2003.0
1098,2003.0
1099,2015.0
1100,2007.0
1101,1992.0
1102,2000.0
1103,2012.0
1104,2004.0
1105,2006.0
1106,2002.0
1107,2005.0
1108,1981.0
1109,2004.0
1110,1991.0
1111,2011.0
1112,2004.0
1113,2008.0
1114,2007.0
1115,2004.0
1116,2011.0
1117,1982.0
1118,1999.0
1119,1986.0
1120,2002.0
1121,2005.0
1122,2004.0
1123,2010.0
1124,2015.0
1125,2004.0
1126,2006.0
1127,2001.0
1129,2011.0
1130,2003.0
1131,1999.0
1132,2014.0
1133,2004.0
1134,2010.0
1136,2005.0
1137,2011.0
1138,2006.0
1139,2003.0
1140,1998.0
1141,2006.0
1142,2004.0
1143,2013.0
1144,1989.0
1145,1998.0
1146,2005.0
1147,2005.0
1148,2007.0
1149,2014.0
1150,2008.0
1151,2011.0
1152,2005.0
1153,2008.0
1154,1998.0
1155,1981.0
1156,1999.0
1157,2008.0
1158,2016.0
1159,2003.0
1160,2004.0
1161,1996.0
1162,2006.0
1163,1996.0
1164,2008.0
1165,1982.0
1166,2007.0
1167,2008.0
1168,2010.0
1169,1999.0
1170,2014.0
1171,2008.0
1172,2008.0
1173,2008.0
1174,2000.0
1175,2012.0
1176,2009.0
1177,2008.0
1178,2012.0
1179,2007.0
1180,2009.0
1181,2002.0
1182,2009.0
1183,2001.0
1184,2002.0
1185,2005.0
1186,2012.0
1187,2000.0
1188,2006.0
1189,1988.0
1190,1995.0
1191,2016.0
1192,1990.0
1193,2001.0
1194,2003.0
1195,2013.0
1196,2010.0
1197,2012.0
1198,2002.0
1199,2003.0
1200,2008.0
1201,2010.0
1202,2000.0
1203,2001.0
1204,2014.0
1205,2010.0
1206,2011.0
1207,1999.0
1208,2011.0
1209,2015.0
1210,2013.0
1211,2007.0
1212,2015.0
1213,2000.0
1214,2003.0
1215,2006.0
1216,2008.0
1217,2005.0
1218,1996.0
1219,2012.0
1220,2009.0
1221,2008.0
1222,2007.0
1223,1994.0
1224,1998.0
1225,2009.0
1226,2016.0
1227,2003.0
1228,1997.0
1229,2014.0
1230,2011.0
1231,2007.0
1232,1997.0
1233,2002.0
1234,1996.0
1235,1984.0
1236,1984.0
1237,1998.0
1238,1998.0
1239,2010.0
1240,2006.0
1241,2002.0
1242,2002.0
1243,2014.0
1244,2010.0
1245,2011.0
1246,2011.0
1247,2013.0
1248,1988.0
1249,2001.0
1250,1997.0
1251,2007.0
1252,1997.0
1253,2003.0
1254,2011.0
1255,2000.0
1256,2010.0
1257,1998.0
1258,2002.0
1259,2010.0
1260,2000.0
1261,2000.0
1262,1985.0
1263,1993.0
1264,1986.0
1265,2010.0
1266,2008.0
1267,1998.0
1268,2009.0
1269,2003.0
1270,2002.0
1271,2008.0
1272,2008.0
1273,2000.0
1274,2006.0
1275,2008.0
1276,2010.0
1277,2009.0
1278,2006.0
1279,2006.0
1280,1990.0
1281,1999.0
1282,1997.0
1283,2011.0
1284,2005.0
1285,2004.0
1286,2004.0
1287,2007.0
1288,2012.0
1289,2008.0
1290,1999.0
1291,2003.0
1292,2006.0
1293,2013.0
1294,2008.0
1295,2010.0
1296,2008.0
1297,2007.0
1298,2012.0
1299,1998.0
1300,2004.0
1301,2012.0
1302,2008.0
1303,2003.0
1304,2008.0
1306,2011.0
1307,2001.0
1308,1981.0
1309,1998.0
1310,2005.0
1311,2012.0
1312,2012.0
1313,2012.0
1314,1998.0
1315,2006.0
1316,2013.0
1317,2004.0
1318,2013.0
1319,2015.0
1320,2008.0
1321,2004.0
1322,2011.0
1323,2003.0
1324,2007.0
1325,1996.0
1326,1984.0
1327,1993.0
1328,1997.0
1329,1999.0
1330,2008.0
1331,2010.0
1332,2005.0
1333,2007.0
1334,2007.0
1335,2007.0
1336,2006.0
1337,2013.0
1338,1996.0
1339,2014.0
1340,2007.0
1341,2010.0
1342,2006.0
1343,2013.0
1344,2004.0
1345,2011.0
1346,2002.0
1347,1999.0
1348,2013.0
1349,2009.0
1350,2009.0
1351,2008.0
1352,1988.0
1353,2004.0
1354,1999.0
1355,2013.0
1356,2002.0
1357,2010.0
1358,2005.0
1359,2004.0
1360,2004.0
1361,2011.0
1362,1994.0
1363,1987.0
1364,2008.0
1365,2002.0
1366,2009.0
1367,2014.0
1368,2006.0
1369,2010.0
1370,2009.0
1371,2005.0
1372,2013.0
1373,2014.0
1374,1994.0
1375,2004.0
1376,2010.0
1377,1999.0
1378,2003.0
1379,2001.0
1380,2004.0
1381,2010.0
1382,2002.0
1383,2008.0
1384,1996.0
1385,2008.0
1386,2004.0
1387,1990.0
1388,2013.0
1389,2002.0
1390,2001.0
1391,2016.0
1392,2007.0
1393,2009.0
1394,2011.0
1395,1994.0
1396,1991.0
1397,2005.0
1398,2007.0
1399,2012.0
1400,2011.0
1401,2003.0
1402,2005.0
1403,2000.0
1404,2012.0
1405,2014.0
1406,1998.0
1407,2012.0
1408,2010.0
1409,2009.0
1410,2007.0
1411,2009.0
1412,2001.0
1413,2011.0
1414,2008.0
1415,2014.0
1416,2006.0
1417,1998.0
1418,2014.0
1419,2008.0
1420,2010.0
1421,2004.0
1422,2010.0
1423,1998.0
1424,2014.0
1425,2004.0
1426,2003.0
1427,2008.0
1428,2008.0
1429,1986.0
1430,1996.0
1431,1981.0
1432,2014.0
1433,2013.0
1434,2002.0
1436,2011.0
1437,1999.0
1438,2010.0
1439,1997.0
1440,2008.0
1441,2007.0
1442,2007.0
1443,2009.0
1444,2010.0
1445,2008.0
1446,2015.0
1447,2004.0
1448,2003.0
1449,2008.0
1450,2008.0
1451,2005.0
1452,2011.0
1453,1997.0
1454,2004.0
1455,2007.0
1456,2011.0
1457,2002.0
1458,2005.0
1459,2006.0
1460,1994.0
1461,2005.0
1462,2004.0
1463,2006.0
1464,2003.0
1465,2000.0
1466,2004.0
1467,2007.0
1468,2004.0
1469,2010.0
1470,2011.0
1471,2013.0
1472,2013.0
1473,2002.0
1474,1998.0
1475,2000.0
1476,2003.0
1477,2000.0
1478,2004.0
1479,2010.0
1480,2013.0
1481,2004.0
1482,2007.0
1483,2010.0
1484,2014.0
1485,2005.0
1486,2008.0
1487,2014.0
1488,2008.0
1489,2014.0
1490,2014.0
1491,1998.0
1492,1985.0
1493,2002.0
1494,1997.0
1495,2003.0
1496,2010.0
1497,1996.0
1498,2011.0
1499,2012.0
1501,1996.0
1502,2002.0
1503,2009.0
1504,2009.0
1505,2009.0
1506,2009.0
1507,2005.0
1508,1999.0
1509,2009.0
1510,1983.0
1511,2002.0
1512,2008.0
1513,2008.0
1514,2004.0
1516,2002.0
1517,2011.0
1518,2006.0
1519,2013.0
1520,2005.0
1521,2007.0
1522,1997.0
1523,1995.0
1524,2010.0
1525,1999.0
1526,2015.0
1527,2006.0
1528,2015.0
1529,2002.0
1530,2012.0
1531,2002.0
1532,2005.0
1533,2015.0
1534,2003.0
1535,2004.0
1536,2008.0
1537,2008.0
1538,2008.0
1539,2005.0
1540,2004.0
1541,2014.0
1542,2008.0
1543,2014.0
1544,1989.0
1545,2015.0
1546,1999.0
1547,2012.0
1548,1999.0
1549,2003.0
1550,2012.0
1551,2001.0
1552,2008.0
1553,1997.0
1554,2005.0
1555,2008.0
1556,1995.0
1557,2012.0
1558,1981.0
1559,2008.0
1560,2011.0
1561,2003.0
1562,1984.0
1563,2015.0
1564,2008.0
1565,2002.0
1566,2007.0
1567,2003.0
1568,2004.0
1569,1994.0
1570,2016.0
1571,2008.0
1572,2005.0
1573,2010.0
1574,1998.0
1575,2007.0
1576,2014.0
1577,2006.0
1578,2003.0
1579,1998.0
1580,2007.0
1581,1998.0
1582,2012.0
1583,2007.0
1584,2008.0
1585,2000.0
1586,2008.0
1588,2007.0
1589,1988.0
1590,1987.0
1591,1996.0
1592,2013.0
1593,2005.0
1594,2006.0
1595,2002.0
1596,2003.0
1597,2004.0
1598,1998.0
1599,2005.0
1600,2001.0
1601,2007.0
1602,2011.0
1603,2007.0
1604,2009.0
1605,2009.0
1606,1997.0
1607,2015.0
1608,2000.0
1609,2008.0
1610,1992.0
1611,2005.0
1612,2007.0
1613,2001.0
1614,2010.0
1615,2004.0
1616,2002.0
1617,2004.0
1618,2003.0
1619,2014.0
1620,2008.0
1621,2007.0
1622,2000.0
1623,2003.0
1624,1998.0
1625,1986.0
1626,2004.0
1627,2009.0
1628,2003.0
1629,2005.0
1630,2016.0
1631,2008.0
1632,2015.0
1633,2007.0
1634,2012.0
1635,2010.0
1636,2004.0
1637,1997.0
1638,1997.0
1639,1999.0
1640,1984.0
1641,2006.0
1642,2011.0
1643,2006.0
1644,1997.0
1645,1997.0
1646,2002.0
1647,1996.0
1648,2001.0
1649,1998.0
1650,2002.0
1652,2011.0
1653,2006.0
1654,2001.0
1655,2004.0
1656,2010.0
1657,2002.0
1658,2009.0
1659,1992.0
1660,2001.0
1661,1999.0
1662,2000.0
1663,2003.0
1664,2007.0
1665,1997.0
1666,2006.0
1667,2005.0
1668,2002.0
1669,2011.0
1670,2004.0
1671,2004.0
1672,2015.0
1673,2008.0
1674,2015.0
1675,2015.0
1676,1993.0
1677,1986.0
1678,1986.0
1679,1999.0
1680,1989.0
1681,2003.0
1682,2001.0
1683,2006.0
1684,2009.0
1685,2012.0
1686,2013.0
1687,2006.0
1688,1997.0
1689,2014.0
1690,2007.0
1691,2003.0
1692,2008.0
1693,2002.0
1694,2012.0
1695,2006.0
1696,1998.0
1697,1990.0
1698,1999.0
1700,2013.0
1701,2002.0
1702,2004.0
1703,2016.0
1704,2015.0
1705,2012.0
1706,1999.0
1707,1982.0
1708,2012.0
1709,2008.0
1710,1988.0
1711,1999.0
1712,2000.0
1713,2001.0
1714,2011.0
1715,2009.0
1716,2011.0
1717,2006.0
1718,1991.0
1719,2008.0
1720,1996.0
1721,2011.0
1722,2008.0
1723,2005.0
1724,2002.0
1725,2008.0
1726,2007.0
1727,2012.0
1728,1990.0
1729,2016.0
1730,1997.0
1731,1993.0
1732,2003.0
1733,1998.0
1734,1996.0
1735,2003.0
1736,2012.0
1737,1996.0
1738,2008.0
1739,2015.0
1740,2004.0
1741,2008.0
1742,2009.0
1743,2010.0
1744,2012.0
1745,2007.0
1746,2006.0
1747,2004.0
1748,2007.0
1749,1997.0
1750,2011.0
1751,2001.0
1752,1999.0
1753,1993.0
1754,2002.0
1755,1995.0
1756,1997.0
1757,2007.0
1758,2010.0
1759,2011.0
1760,2005.0
1761,2009.0
1762,2014.0
1763,2008.0
1764,2011.0
1765,2001.0
1766,2007.0
1767,2004.0
1768,1980.0
1769,2010.0
1770,2009.0
1771,2007.0
1772,1990.0
1773,1995.0
1774,1986.0
1775,2008.0
1776,2011.0
1777,2003.0
1778,2011.0
1779,1993.0
1780,2003.0
1781,1998.0
1782,1997.0
1783,2011.0
1784,2000.0
1785,2003.0
1786,2005.0
1787,1998.0
1788,2007.0
1789,2005.0
1790,2008.0
1791,2009.0
1792,1998.0
1793,1986.0
1794,1990.0
1795,2000.0
1796,1991.0
1797,2003.0
1798,2005.0
1799,2005.0
1800,2009.0
1801,2001.0
1802,2004.0
1803,2002.0
1804,2010.0
1805,2011.0
1806,1999.0
1807,2006.0
1808,2012.0
1809,2004.0
1810,2014.0
1811,1983.0
1812,1998.0
1813,2013.0
1814,2014.0
1815,2009.0
1816,2005.0
1817,2009.0
1818,2011.0
1819,1982.0
1820,2001.0
1821,1996.0
1822,2010.0
1823,2013.0
1824,2010.0
1825,2011.0
1826,2014.0
1827,2005.0
1828,2005.0
1829,1992.0
1830,2009.0
1831,2007.0
1832,2004.0
1833,2003.0
1834,2015.0
1835,2007.0
1836,2008.0
1837,2007.0
1838,2014.0
1840,2005.0
1841,1983.0
1842,1995.0
1843,1994.0
1844,2007.0
1845,2013.0
1846,1999.0
1847,2004.0
1848,2010.0
1849,2009.0
1850,1981.0
1851,2007.0
1852,2015.0
1853,1982.0
1854,1997.0
1855,2012.0
1856,2007.0
1857,2010.0
1858,1999.0
1859,1984.0
1860,1989.0
1861,1989.0
1862,1998.0
1863,1983.0
1864,2008.0
1865,2001.0
1866,2006.0
1867,2006.0
1868,2003.0
1869,2005.0
1870,1998.0
1871,2013.0
1872,2008.0
1873,2008.0
1874,2007.0
1875,2006.0
1876,2009.0
1877,2003.0
1878,2007.0
1879,2000.0
1880,1998.0
1881,2005.0
1882,2006.0
1883,2003.0
1884,2009.0
1885,2006.0
1886,2009.0
1887,2002.0
1888,1997.0
1889,2010.0
1890,2010.0
1891,2012.0
1892,2007.0
